央视,#genre#
CCTV16,http://59.172.84.192:8888/rtp/239.69.1.13:9718
CCTV1,http://113.133.234.33:8014/rtp/239.112.205.59:5140
CCTV2,http://113.133.234.33:8014/rtp/239.112.205.78:5140
CCTV3,http://113.133.234.33:8014/rtp/239.112.205.221:5140
CCTV4,http://113.133.234.33:8014/rtp/239.112.205.202:5140
CCTV5,http://113.133.234.33:8014/rtp/239.112.205.222:5140
CCTV5+,http://113.133.234.33:8014/rtp/239.111.205.13:5140
CCTV6,http://113.133.234.33:8014/rtp/239.112.205.223:5140
CCTV7,http://113.133.234.33:8014/rtp/239.112.205.83:5140
CCTV8,http://113.133.234.33:8014/rtp/239.112.205.224:5140
CCTV9,http://113.133.234.33:8014/rtp/239.112.205.85:5140
CCTV10,http://113.133.234.33:8014/rtp/239.112.205.86:5140
CCTV11,http://113.133.234.33:8014/rtp/239.112.205.213:5140
CCTV12,http://113.133.234.33:8014/rtp/239.112.205.88:5140
CCTV14,http://113.133.234.33:8014/rtp/239.112.205.91:5140
CCTV15,http://113.133.234.33:8014/rtp/239.112.205.214:5140
CCTV16,http://113.133.234.33:8014/rtp/239.111.205.134:5140
CCTV17,http://113.133.234.33:8014/rtp/239.112.205.211:5140
CETV1,http://113.133.234.33:8014/rtp/239.109.205.47:8312
CETV2,http://113.133.234.33:8014/rtp/239.109.205.48:8320
CETV4,http://113.133.234.33:8014/rtp/239.109.205.49:8328
CETV1,http://113.133.234.33:8014/rtp/239.112.205.137:5140
CETV4,http://113.133.234.33:8014/rtp/239.111.205.169:5140
CCTV1,http://113.133.234.33:8008/rtp/239.112.205.59:5140
CCTV2,http://113.133.234.33:8008/rtp/239.112.205.78:5140
CCTV3,http://113.133.234.33:8008/rtp/239.112.205.221:5140
CCTV4,http://113.133.234.33:8008/rtp/239.112.205.202:5140
CCTV5,http://113.133.234.33:8008/rtp/239.112.205.222:5140
CCTV5+,http://113.133.234.33:8008/rtp/239.111.205.13:5140
CCTV6,http://113.133.234.33:8008/rtp/239.112.205.223:5140
CCTV7,http://113.133.234.33:8008/rtp/239.112.205.83:5140
CCTV8,http://113.133.234.33:8008/rtp/239.112.205.224:5140
CCTV9,http://113.133.234.33:8008/rtp/239.112.205.85:5140
CCTV10,http://113.133.234.33:8008/rtp/239.112.205.86:5140
CCTV11,http://113.133.234.33:8008/rtp/239.112.205.213:5140
CCTV12,http://113.133.234.33:8008/rtp/239.112.205.88:5140
CCTV14,http://113.133.234.33:8008/rtp/239.112.205.91:5140
CCTV15,http://113.133.234.33:8008/rtp/239.112.205.214:5140
CCTV16,http://113.133.234.33:8008/rtp/239.111.205.134:5140
CCTV17,http://113.133.234.33:8008/rtp/239.112.205.211:5140
CETV1,http://113.133.234.33:8008/rtp/239.109.205.47:8312
CETV2,http://113.133.234.33:8008/rtp/239.109.205.48:8320
CETV4,http://113.133.234.33:8008/rtp/239.109.205.49:8328
CETV1,http://113.133.234.33:8008/rtp/239.112.205.137:5140
CETV4,http://113.133.234.33:8008/rtp/239.111.205.169:5140
CCTV1,http://113.93.48.90:9999/udp/239.77.1.17:5146
CCTV1,http://113.93.48.90:9999/udp/239.77.1.144:5146
CCTV1,http://113.93.48.90:9999/udp/239.77.0.86:5146
CCTV1,http://113.93.48.90:9999/udp/239.77.0.129:5146
CCTV2,http://113.93.48.90:9999/udp/239.77.1.158:5146
CCTV2,http://113.93.48.90:9999/udp/239.253.43.17:5146
CCTV2,http://113.93.48.90:9999/udp/239.77.0.137:5146
CCTV3,http://113.93.48.90:9999/udp/239.77.0.169:5146
CCTV3,http://113.93.48.90:9999/udp/239.77.0.175:5146
CCTV4,http://113.93.48.90:9999/udp/239.77.1.163:5146
CCTV4,http://113.93.48.90:9999/udp/239.77.1.166:5146
CCTV4,http://113.93.48.90:9999/udp/239.77.0.78:5146
CCTV5,http://113.93.48.90:9999/udp/239.77.0.170:5146
CCTV5,http://113.93.48.90:9999/udp/239.77.0.177:5146
CCTV5+,http://113.93.48.90:9999/udp/239.77.0.87:5146
CCTV5+,http://113.93.48.90:9999/udp/239.77.1.31:5146
CCTV5+,http://113.93.48.90:9999/udp/239.77.1.147:5146
CCTV6,http://113.93.48.90:9999/udp/239.77.0.171:5146
CCTV6,http://113.93.48.90:9999/udp/239.77.0.178:5146
CCTV7,http://113.93.48.90:9999/udp/239.77.1.159:5146
CCTV7,http://113.93.48.90:9999/udp/239.77.1.167:5146
CCTV7,http://113.93.48.90:9999/udp/239.77.0.138:5146
CCTV8,http://113.93.48.90:9999/udp/239.77.0.172:5146
CCTV8,http://113.93.48.90:9999/udp/239.77.0.181:5146
CCTV9,http://113.93.48.90:9999/udp/239.77.1.160:5146
CCTV9,http://113.93.48.90:9999/udp/239.77.1.168:5146
CCTV9,http://113.93.48.90:9999/udp/239.77.0.135:5146
CCTV10,http://113.93.48.90:9999/udp/239.77.1.113:5146
CCTV10,http://113.93.48.90:9999/udp/239.77.1.169:5146
CCTV10,http://113.93.48.90:9999/udp/239.77.0.134:5146
CCTV11,http://113.93.48.90:9999/udp/239.77.1.238:5146
CCTV12,http://113.93.48.90:9999/udp/239.77.1.109:5146
CCTV12,http://113.93.48.90:9999/udp/239.77.1.170:5146
CCTV12,http://113.93.48.90:9999/udp/239.77.0.136:5146
CCTV13,http://113.93.48.90:9999/udp/239.77.0.188:5146
CCTV13,http://113.93.48.90:9999/udp/239.253.43.196:5146
CCTV14,http://113.93.48.90:9999/udp/239.77.1.161:5146
CCTV14,http://113.93.48.90:9999/udp/239.77.1.171:5146
CCTV14,http://113.93.48.90:9999/udp/239.77.0.133:5146
CCTV15,http://113.93.48.90:9999/udp/239.77.1.239:5146
CCTV16,http://113.93.48.90:9999/udp/239.77.0.165:5146
CCTV16,http://113.93.48.90:9999/udp/239.77.1.76:5146
CCTV16,http://113.93.48.90:9999/udp/239.77.1.98:5146
CCTV17,http://113.93.48.90:9999/udp/239.77.1.121:5146
CCTV4,http://113.93.48.90:9999/udp/239.77.0.194:5146
CCTV4,http://113.93.48.90:9999/udp/239.77.0.174:5146
CCTV1,http://113.93.48.90:10000/udp/239.77.1.17:5146
CCTV1,http://113.93.48.90:10000/udp/239.77.1.144:5146
CCTV1,http://113.93.48.90:10000/udp/239.77.0.86:5146
CCTV1,http://113.93.48.90:10000/udp/239.77.0.129:5146
CCTV2,http://113.93.48.90:10000/udp/239.77.1.158:5146
CCTV2,http://113.93.48.90:10000/udp/239.253.43.17:5146
CCTV2,http://113.93.48.90:10000/udp/239.77.0.137:5146
CCTV3,http://113.93.48.90:10000/udp/239.77.0.169:5146
CCTV3,http://113.93.48.90:10000/udp/239.77.0.175:5146
CCTV4,http://113.93.48.90:10000/udp/239.77.1.163:5146
CCTV4,http://113.93.48.90:10000/udp/239.77.1.166:5146
CCTV4,http://113.93.48.90:10000/udp/239.77.0.78:5146
CCTV5,http://113.93.48.90:10000/udp/239.77.0.170:5146
CCTV5,http://113.93.48.90:10000/udp/239.77.0.177:5146
CCTV5+,http://113.93.48.90:10000/udp/239.77.0.87:5146
CCTV5+,http://113.93.48.90:10000/udp/239.77.1.31:5146
CCTV5+,http://113.93.48.90:10000/udp/239.77.1.147:5146
CCTV6,http://113.93.48.90:10000/udp/239.77.0.171:5146
CCTV6,http://113.93.48.90:10000/udp/239.77.0.178:5146
CCTV7,http://113.93.48.90:10000/udp/239.77.1.159:5146
CCTV7,http://113.93.48.90:10000/udp/239.77.1.167:5146
CCTV7,http://113.93.48.90:10000/udp/239.77.0.138:5146
CCTV8,http://113.93.48.90:10000/udp/239.77.0.172:5146
CCTV8,http://113.93.48.90:10000/udp/239.77.0.181:5146
CCTV9,http://113.93.48.90:10000/udp/239.77.1.160:5146
CCTV9,http://113.93.48.90:10000/udp/239.77.1.168:5146
CCTV9,http://113.93.48.90:10000/udp/239.77.0.135:5146
CCTV10,http://113.93.48.90:10000/udp/239.77.1.113:5146
CCTV10,http://113.93.48.90:10000/udp/239.77.1.169:5146
CCTV10,http://113.93.48.90:10000/udp/239.77.0.134:5146
CCTV11,http://113.93.48.90:10000/udp/239.77.1.238:5146
CCTV12,http://113.93.48.90:10000/udp/239.77.1.109:5146
CCTV12,http://113.93.48.90:10000/udp/239.77.1.170:5146
CCTV12,http://113.93.48.90:10000/udp/239.77.0.136:5146
CCTV13,http://113.93.48.90:10000/udp/239.77.0.188:5146
CCTV13,http://113.93.48.90:10000/udp/239.253.43.196:5146
CCTV14,http://113.93.48.90:10000/udp/239.77.1.161:5146
CCTV14,http://113.93.48.90:10000/udp/239.77.1.171:5146
CCTV14,http://113.93.48.90:10000/udp/239.77.0.133:5146
CCTV15,http://113.93.48.90:10000/udp/239.77.1.239:5146
CCTV16,http://113.93.48.90:10000/udp/239.77.0.165:5146
CCTV16,http://113.93.48.90:10000/udp/239.77.1.76:5146
CCTV16,http://113.93.48.90:10000/udp/239.77.1.98:5146
CCTV17,http://113.93.48.90:10000/udp/239.77.1.121:5146
CCTV4,http://113.93.48.90:10000/udp/239.77.0.194:5146
CCTV4,http://113.93.48.90:10000/udp/239.77.0.174:5146
CCTV1,http://60.24.0.187:4022/udp/225.1.1.120:5002
CCTV2,http://60.24.0.187:4022/udp/225.1.1.133:5002
CCTV3,http://60.24.0.187:4022/udp/225.1.1.158:5002
CCTV4,http://60.24.0.187:4022/udp/225.1.1.150:5002
CCTV5,http://60.24.0.187:4022/udp/225.1.1.160:5002
CCTV5+,http://60.24.0.187:4022/udp/225.1.1.121:5002
CCTV6,http://60.24.0.187:4022/udp/225.1.1.195:5002
CCTV7,http://60.24.0.187:4022/udp/225.1.1.138:5002
CCTV8,http://60.24.0.187:4022/udp/225.1.1.196:5002
CCTV9,http://60.24.0.187:4022/udp/225.1.1.119:5002
CCTV10,http://60.24.0.187:4022/udp/225.1.1.140:5002
CCTV11,http://60.24.0.187:4022/udp/225.1.2.192:5002
CCTV12,http://60.24.0.187:4022/udp/225.1.1.142:5002
CCTV13,http://60.24.0.187:4022/udp/225.1.2.193:5002
CCTV14,http://60.24.0.187:4022/udp/225.1.1.144:5002
CCTV15,http://60.24.0.187:4022/udp/225.1.2.194:5002
CCTV16,http://60.24.0.187:4022/udp/225.1.2.237:5002
CCTV17,http://60.24.0.187:4022/udp/225.1.2.52:5002
CCTV兵器科技,http://60.24.0.187:4022/udp/225.1.2.166:5002
CCTV第一剧场,http://60.24.0.187:4022/udp/225.1.2.175:5002
CCTV电视指南,http://60.24.0.187:4022/udp/225.1.2.167:5002
CCTV风云剧场,http://60.24.0.187:4022/udp/225.1.2.174:5002
CCTV风云音乐,http://60.24.0.187:4022/udp/225.1.2.176:5002
CCTV风云足球,http://60.24.0.187:4022/udp/225.1.2.168:5002
CCTV高尔夫网,http://60.24.0.187:4022/udp/225.1.2.169:5002
CCTV怀旧剧场,http://60.24.0.187:4022/udp/225.1.2.173:5002
CCTV女性时尚,http://60.24.0.187:4022/udp/225.1.2.172:5002
CCTV世界地理,http://60.24.0.187:4022/udp/225.1.2.171:5002
CCTV央视文化,http://60.24.0.187:4022/udp/225.1.2.177:5002
CCTV央视台球,http://60.24.0.187:4022/udp/225.1.2.170:5002
CETV早期教育,http://60.24.0.187:4022/udp/225.1.2.207:5002
CCTV1,http://114.243.96.186:4000/rtp/239.3.1.129:8008
CCTV2,http://114.243.96.186:4000/rtp/239.3.1.60:8084
CCTV3,http://114.243.96.186:4000/rtp/239.3.1.172:8001
CCTV4,http://114.243.96.186:4000/rtp/239.3.1.105:8092
CCTV5,http://114.243.96.186:4000/rtp/239.3.1.173:8001
CCTV5+,http://114.243.96.186:4000/rtp/239.3.1.130:8004
CCTV6,http://114.243.96.186:4000/rtp/239.3.1.174:8001
CCTV7,http://114.243.96.186:4000/rtp/239.3.1.61:8104
CCTV8,http://114.243.96.186:4000/rtp/239.3.1.175:8001
CCTV9,http://114.243.96.186:4000/rtp/239.3.1.62:8112
